V1,V2,Class
-1.4375,-1.8624,2
-3.1875,-7.5756,2
-4.6765,-5.6636,2
-2.0285,3.8468,2
0.26637,0.73252,2
-1.7589,-6.4624,2
-3.5985,-13.6593,2
-3.3582,-7.2404,2
-2.3629,-0.10554,2
-2.1802,3.3791,2
-0.40951,-0.15521,2
-2.2918,-7.257,2
-4.0214,-12.8006,2
-3.3884,-8.215,2
-2.0046,-0.49457,2
-1.7063,2.7956,2
-1.6386,3.3584,2
-0.41645,0.32487,2
-1.5877,-6.6072,2
-2.5961,-9.349,2
-1.5228,-6.4789,2
-0.53072,-0.097265,2
-0.49081,2.8452,2
-6.5773,6.8017,2
-2.4621,2.7645,2
-1.3995,-1.9162,2
-2.3221,-9.3304,2
-3.73,-12.9723,2
-1.6988,-7.1163,2
-0.26654,-0.64562,2
0.33325,3.3108,2
-4.2091,4.7283,2
-2.3142,-0.68494,2
-2.4835,-7.4494,2
-2.7611,-10.5099,2
-0.36025,-4.449,2
1.0117,0.9022,2
0.96708,3.8426,2
-5.2049,7.259,2
-3.3203,-0.02691,2
-2.565,-5.7899,2
-1.5951,-6.572,2
0.7049,0.17174,2
1.7331,3.9544,2
0.6818,4.8504,2
-6.3364,9.2848,2
-3.8053,2.4273,2
-2.1979,-2.1252,2
-0.87874,-2.2121,2
0.74067,1.7299,2
0.98296,3.4226,2
-0.3489,3.1929,2
-3.8552,3.5219,2
-6.9599,8.9931,2
-4.7462,3.1205,2
-3.2051,-0.14279,2
-1.7549,-0.080711,2
-0.59587,2.4811,2
-0.89542,2.0279,2
-2.0754,1.2767,2
-3.2778,1.8023,2
-2.2183,-1.254,2
-3.5895,-6.572,2
-5.0477,-5.8023,2
-3.5741,3.944,2
-0.7351,1.7361,2
-2.2617,-4.7428,2
-4.244,-13.0634,2
-4.0218,-8.304,2
-3.0201,-0.67253,2
-2.4941,3.5447,2
-0.83121,0.039307,2
-2.5665,-6.8824,2
-4.4018,-12.9371,2
-3.7573,-8.2916,2
-2.4725,-0.40145,2
-1.9725,2.8825,2
-2.0149,3.6874,2
-0.82053,0.65181,2
-1.7886,-6.3486,2
-2.9138,-9.4711,2
-1.8343,-6.5907,2
-0.8734,-0.033118,2
-0.70346,2.957,2
-6.7387,6.9879,2
-2.7723,3.2777,2
-1.6641,-1.3678,2
-2.4349,-9.2497,2
-3.793,-12.7095,2
-1.9551,-6.9756,2
-0.69078,-0.50077,2
0.025013,3.3998,2
-4.3967,4.9601,2
-2.456,-0.24418,2
-2.62,-6.8555,2
-2.9662,-10.3257,2
-0.71494,-4.4448,2
0.6005,0.99945,2
0.61652,3.8944,2
-5.4414,7.2363,2
-3.5798,0.45937,2
-2.7769,-5.6967,2
-1.8356,-6.7562,2
0.30081,0.17381,2
1.3403,4.1323,2
0.26877,4.987,2
-6.5235,9.6014,2
-4.0679,2.4955,2
-2.564,-1.7051,2
-1.3414,-1.9162,2
0.23874,2.0879,2
0.6212,3.6771,2
-0.77848,3.4019,2
-4.1244,3.7909,2
-7.0421,9.2,2
-4.9462,3.5716,2
-3.5359,0.30417,2
-2.0662,0.16967,2
-0.88728,2.808,2
-1.0941,2.3072,2
-2.4458,1.6285,2
-3.551,1.8955,2
-2.2811,-0.85669,2
-3.6053,-5.974,2
-5.0676,-5.1877,2
-3.9204,4.0723,2
-1.1306,1.8458,2
-2.4561,-4.5566,2
-4.4775,-13.0303,2
-4.1958,-8.1819,2
-3.38,-0.7077,2
-2.4365,3.6026,2
-0.77688,0.13036,2
-2.7083,-6.8266,2
-4.5531,-12.5854,2
-3.8894,-7.8322,2
-2.5084,-0.22763,2
-2.1652,3.0211,2
-1.8974,3.5074,2
-0.62043,0.5587,2
-1.8387,-6.301,2
-3,-9.1566,2
-1.9116,-6.1603,2
-1.005,0.084831,2
-0.87834,3.257,2
-6.651,6.7934,2
-2.5463,3.1101,2
-1.4377,-1.432,2
-2.4554,-9.0407,2
-3.9411,-12.8792,2
-2.1241,-6.8969,2
-0.74324,-0.32902,2
-0.071503,3.7412,2
-4.2333,4.9166,2
-2.3675,-0.43663,2
-2.5526,-7.3625,2
-3.0986,-10.4602,2
-0.89809,-4.4862,2
0.56232,1.0015,2
0.53936,3.8944,2
-5.3012,7.3915,2
-3.3553,0.35591,2
-2.7908,-5.7133,2
-1.9983,-6.6072,2
0.15423,0.11794,2
1.208,4.0744,2
0.2952,4.8856,2
-6.4247,9.5311,2
-3.9933,2.6218,2
-2.659,-1.6058,2
-1.4094,-2.1252,2
0.11032,1.9741,2
0.52374,3.644,2
-0.76794,3.4598,2
-3.9698,3.6812,2
-7.0364,9.2931,2
-4.9447,3.3005,2
-3.5933,0.22968,2
-2.1674,0.12415,2
-0.9607,2.6963,2
-1.0802,2.1996,2
-2.3277,1.4381,2
-3.7244,1.9037,2
-2.5724,-0.95602,2
-3.9297,-6.0816,2
-5.2943,-5.1463,2
-3.8953,4.0392,2
-1.2244,1.7485,2
-2.6406,-4.4159,2
-4.6338,-12.7509,2
-4.2887,-7.8633,2
-3.3458,-0.50491,2
-1.1188,3.3357,2
0.55939,-0.3104,2
-1.5078,-7.3191,2
-3.506,-12.5667,2
-2.9498,-8.273,2
-1.6029,-0.38903,2
-1.2667,2.8183,2
-0.49281,3.0605,2
0.66365,-0.045533,2
-0.72068,-6.7583,2
-1.9966,-9.5001,2
-0.97325,-6.4168,2
-0.025314,-0.17383,2
0.062525,2.9301,2
-5.525,6.3258,2
-1.2943,2.6735,2
-0.24037,-1.7837,2
-1.3968,-9.6698,2
-2.9672,-13.2869,2
-1.1005,-7.2508,2
0.22432,-0.52147,2
0.90407,3.3708,2
-2.8619,4.5193,2
-1.0833,-0.31247,2
-1.5681,-7.2446,2
-2.0545,-10.8679,2
0.2346,-4.5152,2
1.581,0.86909,2
1.5514,3.8013,2
-4.1479,7.1225,2
-2.2625,-0.099335,2
-1.7479,-5.823,2
-0.95923,-6.7128,2
1.3451,0.23589,2
2.2279,4.0951,2
1.2572,4.8731,2
-5.3857,9.1214,2
-2.9786,2.3445,2
-1.5851,-2.1562,2
-0.21888,-2.2038,2
1.3183,1.9017,2
1.4896,3.4288,2
0.11592,3.2219,2
-3.3924,3.3564,2
-6.1632,8.7096,2
-4.0786,2.9239,2
-2.5899,-0.3911,2
-1.0116,-0.19038,2
0.066129,2.4914,2
-0.24745,1.9368,2
-1.5732,1.0636,2
-2.1668,1.5933,2
-1.1667,-1.4237,2
-2.8391,-6.63,2
-4.5046,-5.8126,2
-2.41,3.7433,2
0.40614,1.3492,2
-1.3887,-4.8773,2
-3.7503,-13.4586,2
-3.5637,-8.3827,2
-2.5419,-0.65804,2
